frame,time_seconds,flash_offset,x,y,width,height,pixel_count,raw_length,encoded_length,record_length,decoded_crc32
380,12.666666666666666,716187,65,46,29,39,1131,2262,1575,1591,E81E959B
381,12.7,717778,59,42,43,46,1978,3956,2213,2229,FDCF38E7
382,12.733333333333333,720007,59,42,44,46,2024,4048,2194,2210,0F6D37B4
383,12.766666666666667,722217,59,40,45,48,2160,4320,2283,2299,069CA431
384,12.8,724516,60,40,43,48,2064,4128,2328,2344,453BBC60
385,12.833333333333334,726860,62,79,7,8,56,112,103,119,A8F08F54
386,12.866666666666667,726979,59,40,45,48,2160,4320,2372,2388,D9D87FF4
387,12.9,729367,57,40,47,48,2256,4512,2423,2439,DD7730EF
388,12.933333333333334,731806,70,44,34,35,1190,2380,1534,1550,EE57080E
389,12.966666666666667,733356,57,40,48,48,2304,4608,2422,2438,E591D48C
390,13.0,735794,59,40,47,48,2256,4512,2418,2434,45E1B4D7
391,13.033333333333333,738228,94,59,1,1,1,2,3,19,0CC6142F
392,13.066666666666666,738247,62,40,45,48,2160,4320,2292,2308,45C0F684
393,13.1,740555,63,40,45,48,2160,4320,2275,2291,B99DE00D
394,13.133333333333333,742846,64,41,44,47,2068,4136,2224,2240,C1DE8B00
395,13.166666666666666,745086,64,41,45,47,2115,4230,2113,2129,8FEB01D1
396,13.2,747215,75,56,32,18,576,1152,841,857,1D79EEEE
397,13.233333333333333,748072,76,66,27,8,216,432,231,247,CC3FE962
398,13.266666666666667,748319,65,42,44,45,1980,3960,2065,2081,F59FC27B
399,13.3,750400,65,42,44,46,2024,4048,2165,2181,99B8EBF4
400,13.333333333333334,752581,64,40,44,48,2112,4224,2207,2223,5F44F5CB
401,13.366666666666667,754804,64,40,44,47,2068,4136,2258,2274,1BB645BA
402,13.4,757078,64,40,44,48,2112,4224,2319,2335,A40C5911
403,13.433333333333334,759413,98,87,1,1,1,2,3,19,698A7461
404,13.466666666666667,759432,64,40,45,48,2160,4320,2460,2476,64558C70
405,13.5,761908,70,59,40,29,1160,2320,1405,1421,CE5AE6A1
406,13.533333333333333,763329,62,40,48,48,2304,4608,2462,2478,BA85253E
